username,ranking,country,number of solved problems,P1 http://br.spoj.com/problems/BIT/,P2 http://br.spoj.com/problems/DOBRA/,P3 http://br.spoj.com/problems/AERO/,P4 http://br.spoj.com/problems/METEORO/,P5 http://br.spoj.com/problems/DESCULPA/,P6 http://br.spoj.com/problems/CARTOG11/,P7 http://br.spoj.com/problems/BAFO/,P8 http://br.spoj.com/problems/LINGUA14/
canser,1,Bolivia,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
fstravassos,2,Brazil,0,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
